pais,fuente_energia,anio,capacidad_instalada_mw,produccion_gwh
China,Geotérmica,2021,6.8,40.7
China,Geotérmica,2022,7.0,47.5
China,Geotérmica,2023,7.2,43.7
China,Geotérmica,2024,7.4,44.8
China,Biomasa,2015,4.6,22.5
China,Biomasa,2016,4.7,27.0
China,Biomasa,2017,4.8,27.5
China,Biomasa,2018,4.9,27.3
China,Biomasa,2019,5.0,27.9
China,Biomasa,2020,5.3,29.7
China,Biomasa,2021,5.3,30.2
China,Biomasa,2022,5.4,29.6
China,Biomasa,2023,5.4,27.2
China,Biomasa,2024,5.4,29.2
India,Solar,2015,10.3,19.4
India,Solar,2016,12.4,24.3
India,Solar,2017,13.9,28.1
India,Solar,2018,17.0,31.6
India,Solar,2019,18.0,32.9
India,Solar,2020,19.2,36.3
India,Solar,2021,22.5,45.8
India,Solar,2022,23.9,42.9
India,Solar,2023,26.4,54.4
India,Solar,2024,29.7,57.8
India,Eólica,2015,10.7,30.7
India,Eólica,2016,11.8,33.7
India,Eólica,2017,13.9,37.7
India,Eólica,2018,15.6,40.4
India,Eólica,2019,16.9,43.0
India,Eólica,2020,17.8,45.6
India,Eólica,2021,21.3,62.6
India,Eólica,2022,24.4,72.6
India,Eólica,2023,26.2,71.2
India,Eólica,2024,30.0,90.0
India,Hidroeléctrica,2015,17.6,63.2
India,Hidroeléctrica,2016,17.7,73.2
India,Hidroeléctrica,2017,18.6,68.2
India,Hidroeléctrica,2018,19.5,69.9
India,Hidroeléctrica,2019,20.5,84.1
India,Hidroeléctrica,2020,21.1,82.7
India,Hidroeléctrica,2021,21.4,91.4
India,Hidroeléctrica,2022,21.7,81.5
India,Hidroeléctrica,2023,22.7,90.9
India,Hidroeléctrica,2024,23.4,93.6
India,Geotérmica,2015,1.6,11.3
India,Geotérmica,2016,1.6,11.0
India,Geotérmica,2017,1.7,10.5
India,Geotérmica,2018,1.7,11.4
India,Geotérmica,2019,1.7,10.1
India,Geotérmica,2020,1.7,11.6
India,Geotérmica,2021,1.8,11.9
India,Geotérmica,2022,1.9,13.4
India,Geotérmica,2023,1.9,12.5
India,Geotérmica,2024,2.0,11.7
India,Biomasa,2015,2.3,12.9
India,Biomasa,2016,2.4,12.9
India,Biomasa,2017,2.4,12.8
India,Biomasa,2018,2.6,13.2
India,Biomasa,2019,2.6,14.0
India,Biomasa,2020,2.6,13.6
India,Biomasa,2021,2.6,13.7
India,Biomasa,2022,2.8,15.5
India,Biomasa,2023,2.9,16.2
India,Biomasa,2024,3.1,17.5
Chile,Solar,2015,9.3,17.7
Chile,Solar,2016,9.7,17.7
Chile,Solar,2017,10.9,20.6
Chile,Solar,2018,12.8,24.5
Chile,Solar,2019,14.9,26.0
Chile,Solar,2020,17.5,35.4
Chile,Solar,2021,18.2,34.0
Chile,Solar,2022,21.0,37.6
Chile,Solar,2023,24.9,52.5
Chile,Solar,2024,29.4,58.0
Chile,Eólica,2015,18.8,57.6
Chile,Eólica,2016,20.7,59.8
Chile,Eólica,2017,21.9,66.5
Chile,Eólica,2018,23.0,61.7
Chile,Eólica,2019,26.3,69.6
Chile,Eólica,2020,29.3,79.8
Chile,Eólica,2021,34.0,95.7
Chile,Eólica,2022,40.5,116.2
Chile,Eólica,2023,47.3,119.9
Chile,Eólica,2024,55.0,166.8
Chile,Hidroeléctrica,2015,14.1,58.9
Chile,Hidroeléctrica,2016,14.2,57.3
Chile,Hidroeléctrica,2017,14.5,55.5
Chile,Hidroeléctrica,2018,15.3,61.3
Chile,Hidroeléctrica,2019,15.8,65.9
Chile,Hidroeléctrica,2020,16.1,58.9
Chile,Hidroeléctrica,2021,17.1,62.8
Chile,Hidroeléctrica,2022,18.0,77.8
Chile,Hidroeléctrica,2023,18.5,67.5
Chile,Hidroeléctrica,2024,19.0,75.7
Chile,Geotérmica,2015,3.3,20.6
Chile,Geotérmica,2016,3.3,23.9
Chile,Geotérmica,2017,3.3,23.8
Chile,Geotérmica,2018,3.5,24.8
Chile,Geotérmica,2019,3.6,22.1
Chile,Geotérmica,2020,3.7,24.0
Chile,Geotérmica,2021,3.9,23.8
Chile,Geotérmica,2022,4.0,28.3
Chile,Geotérmica,2023,4.1,29.3
Chile,Geotérmica,2024,4.3,26.2
Chile,Biomasa,2015,4.3,20.7
Chile,Biomasa,2016,4.5,21.1
Chile,Biomasa,2017,4.5,23.0
Chile,Biomasa,2018,4.5,24.5
Chile,Biomasa,2019,4.6,22.9
Chile,Biomasa,2020,4.7,25.1
Chile,Biomasa,2021,5.0,27.9
Chile,Biomasa,2022,5.3,25.5
Chile,Biomasa,2023,5.3,29.2
Chile,Biomasa,2024,5.4,25.9
