pais,continente,anio,mes,llegadas_turistas_millones,ingresos_turismo_usd_millones
Estados Unidos,América,2023,6,5.764,7871.0
Estados Unidos,América,2023,7,4.464,4269.3
Estados Unidos,América,2023,8,3.907,4195.6
Estados Unidos,América,2023,9,4.362,6242.9
Estados Unidos,América,2023,10,4.569,5794.3
Estados Unidos,América,2023,11,4.206,4027.0
Estados Unidos,América,2023,12,5.983,9026.4
Estados Unidos,América,2024,1,7.692,9195.4
Estados Unidos,América,2024,2,9.824,9895.1
Estados Unidos,América,2024,3,9.899,12231.0
Estados Unidos,América,2024,4,8.961,11352.3
Estados Unidos,América,2024,5,7.983,6399.7
Estados Unidos,América,2024,6,7.638,12012.2
Estados Unidos,América,2024,7,6.193,6307.4
Estados Unidos,América,2024,8,4.947,6895.1
Estados Unidos,América,2024,9,3.854,5435.6
Estados Unidos,América,2024,10,4.164,6436.8
Estados Unidos,América,2024,11,5.194,8138.0
Estados Unidos,América,2024,12,6.276,7417.8
Brasil,América,2022,1,0.872,1385.4
Brasil,América,2022,2,0.934,1355.3
Brasil,América,2022,3,0.882,1212.9
Brasil,América,2022,4,0.849,1305.0
Brasil,América,2022,5,0.858,893.8
Brasil,América,2022,6,0.733,556.6
Brasil,América,2022,7,0.628,831.2
Brasil,América,2022,8,0.446,571.9
Brasil,América,2022,9,0.476,602.6
Brasil,América,2022,10,0.525,563.7
Brasil,América,2022,11,0.527,544.6
Brasil,América,2022,12,0.631,713.5
Brasil,América,2023,1,1.048,1558.5
Brasil,América,2023,2,1.122,1578.8
Brasil,América,2023,3,1.275,1650.1
Brasil,América,2023,4,0.945,1193.0
Brasil,América,2023,5,0.833,1090.8
Brasil,América,2023,6,0.952,1084.8
Brasil,América,2023,7,0.772,553.9
Brasil,América,2023,8,0.658,559.9
Brasil,América,2023,9,0.593,574.3
Brasil,América,2023,10,0.559,457.6
Brasil,América,2023,11,0.588,810.1
Brasil,América,2023,12,0.889,721.2
Brasil,América,2024,1,1.151,1072.7
Brasil,América,2024,2,1.378,1131.0
Brasil,América,2024,3,1.309,1965.0
Brasil,América,2024,4,1.246,1624.0
Brasil,América,2024,5,1.214,1621.9
Brasil,América,2024,6,1.037,934.9
Brasil,América,2024,7,0.876,1009.9
Brasil,América,2024,8,0.741,984.2
Brasil,América,2024,9,0.657,1022.8
Brasil,América,2024,10,0.581,861.4
Brasil,América,2024,11,0.731,1052.1
Brasil,América,2024,12,0.867,972.3
Canadá,América,2022,1,1.257,1791.5
Canadá,América,2022,2,1.466,1651.1
Canadá,América,2022,3,1.764,1823.9
Canadá,América,2022,4,1.745,2022.8
Canadá,América,2022,5,1.598,2227.4
Canadá,América,2022,6,1.378,1848.0
Canadá,América,2022,7,0.934,1099.9
Canadá,América,2022,8,0.947,1450.5
Canadá,América,2022,9,0.722,671.4
Canadá,América,2022,10,0.774,977.8
Canadá,América,2022,11,0.899,1200.3
Canadá,América,2022,12,1.135,1650.5
Canadá,América,2023,1,1.598,2451.0
Canadá,América,2023,2,1.821,1331.9
Canadá,América,2023,3,1.786,2561.5
Canadá,América,2023,4,1.728,1600.0
Canadá,América,2023,5,1.987,2136.1
Canadá,América,2023,6,1.535,1827.1
Canadá,América,2023,7,1.203,1813.7
Canadá,América,2023,8,0.883,921.0
Canadá,América,2023,9,0.943,1241.0
Canadá,América,2023,10,1.096,770.5
Canadá,América,2023,11,1.068,977.0
Canadá,América,2023,12,1.399,1945.5
Canadá,América,2024,1,2.118,3249.6
Canadá,América,2024,2,2.125,2288.9
Canadá,América,2024,3,2.024,3047.3
Canadá,América,2024,4,2.451,3824.1
Canadá,América,2024,5,2.112,3155.7
Canadá,América,2024,6,1.714,2494.2
Canadá,América,2024,7,1.314,1814.9
Canadá,América,2024,8,1.262,1585.1
Canadá,América,2024,9,1.203,1574.4
Canadá,América,2024,10,1.083,808.1
Canadá,América,2024,11,1.314,1150.4
Canadá,América,2024,12,1.884,2223.0
España,Europa,2022,1,4.63,7095.4
España,Europa,2022,2,3.978,5885.8
España,Europa,2022,3,3.475,4805.4
España,Europa,2022,4,4.159,4557.0
España,Europa,2022,5,4.592,7153.5
España,Europa,2022,6,4.843,3703.9
España,Europa,2022,7,6.133,9208.3
España,Europa,2022,8,6.887,6099.6
España,Europa,2022,9,8.119,9127.2
España,Europa,2022,10,6.713,5141.6
España,Europa,2022,11,6.04,9548.9
España,Europa,2022,12,5.146,7203.3
España,Europa,2023,1,5.996,4209.8
España,Europa,2023,2,4.747,3931.8
España,Europa,2023,3,4.197,6161.1
España,Europa,2023,4,4.297,5791.3
España,Europa,2023,5,4.972,6151.0
España,Europa,2023,6,6.889,8171.6
España,Europa,2023,7,7.168,9790.3
España,Europa,2023,8,7.481,7458.2
España,Europa,2023,9,9.441,10866.1
España,Europa,2023,10,7.37,9656.5
España,Europa,2023,11,8.51,7271.3
España,Europa,2023,12,7.249,5103.2
España,Europa,2024,1,6.89,8601.2
España,Europa,2024,2,4.75,4028.6
España,Europa,2024,3,4.687,5103.8
España,Europa,2024,4,5.132,5981.0
España,Europa,2024,5,5.312,4905.8
España,Europa,2024,6,6.567,9443.0
España,Europa,2024,7,7.732,10051.2
España,Europa,2024,8,8.395,10811.0
España,Europa,2024,9,9.728,11213.2
España,Europa,2024,10,10.291,10075.4
España,Europa,2024,11,9.143,13921.2
España,Europa,2024,12,7.872,9756.7
Francia,Europa,2022,1,4.905,7374.1
Francia,Europa,2022,2,3.362,5361.7
Francia,Europa,2022,3,3.621,5447.5
Francia,Europa,2022,4,3.4,3248.0
Francia,Europa,2022,5,4.721,5721.9
Francia,Europa,2022,6,6.367,6266.4
Francia,Europa,2022,7,6.091,7740.9
Francia,Europa,2022,8,6.588,10024.0
Francia,Europa,2022,9,6.985,4911.2
Francia,Europa,2022,10,7.608,6879.7
Francia,Europa,2022,11,7.431,5903.0
Francia,Europa,2022,12,5.627,6978.7
Francia,Europa,2023,1,5.687,4290.6
Francia,Europa,2023,2,4.836,3951.0
Francia,Europa,2023,3,3.871,5868.7
Francia,Europa,2023,4,4.463,3407.7
Francia,Europa,2023,5,4.86,7181.7
Francia,Europa,2023,6,7.639,10465.3
Francia,Europa,2023,7,8.818,8380.2
Francia,Europa,2023,8,9.215,12553.6
Francia,Europa,2023,9,8.615,11700.7
Francia,Europa,2023,10,9.793,11453.4
Francia,Europa,2023,11,8.457,6115.2
Francia,Europa,2023,12,6.645,6577.0
Francia,Europa,2024,1,6.223,9535.7
Francia,Europa,2024,2,6.215,4682.6
Francia,Europa,2024,3,5.248,4609.3
Francia,Europa,2024,4,5.738,9047.4
Francia,Europa,2024,5,5.802,6077.5
Francia,Europa,2024,6,7.501,10040.9
Francia,Europa,2024,7,10.124,7499.7
Francia,Europa,2024,8,9.361,9687.1
Francia,Europa,2024,9,12.1,16769.0
Francia,Europa,2024,10,10.653,16723.7
Francia,Europa,2024,11,8.963,12738.8
Francia,Europa,2024,12,7.283,6806.1
Italia,Europa,2022,1,3.48,4999.4
Italia,Europa,2022,2,2.711,2286.8
Italia,Europa,2022,3,2.302,3528.0
Italia,Europa,2022,4,2.578,1906.1
Italia,Europa,2022,5,2.846,3502.8
Italia,Europa,2022,6,4.156,4614.3
Italia,Europa,2022,7,4.073,5763.0
Italia,Europa,2022,8,4.609,4337.3
Italia,Europa,2022,9,5.181,6034.6
Italia,Europa,2022,10,5.419,6002.4
Italia,Europa,2022,11,4.599,5113.9
Italia,Europa,2022,12,3.948,5964.8
Italia,Europa,2023,1,3.336,5019.2
Italia,Europa,2023,2,3.593,3682.6
Italia,Europa,2023,3,2.545,2832.4
Italia,Europa,2023,4,3.374,2969.7
Italia,Europa,2023,5,3.434,3527.5
Italia,Europa,2023,6,5.15,6383.7
Italia,Europa,2023,7,5.727,7037.8
Italia,Europa,2023,8,6.31,6895.3
Italia,Europa,2023,9,6.207,4942.4
Italia,Europa,2023,10,6.887,5867.3
Italia,Europa,2023,11,5.92,7524.4
Italia,Europa,2023,12,4.947,5822.1
Italia,Europa,2024,1,4.398,4435.0
Italia,Europa,2024,2,3.196,4045.9
Italia,Europa,2024,3,3.53,3521.8
Italia,Europa,2024,4,4.119,6322.5
Italia,Europa,2024,5,4.158,4640.3
Italia,Europa,2024,6,4.801,6475.2
Italia,Europa,2024,7,5.603,5521.8
Italia,Europa,2024,8,7.78,6520.6
Italia,Europa,2024,9,7.927,9543.5
Italia,Europa,2024,10,6.222,8891.0
Italia,Europa,2024,11,6.325,8853.8
Italia,Europa,2024,12,5.056,4960.0
Alemania,Europa,2022,1,1.803,1469.5
Alemania,Europa,2022,2,1.734,1831.7
Alemania,Europa,2022,3,1.396,1214.5
Alemania,Europa,2022,4,1.718,1277.3
Alemania,Europa,2022,5,1.741,2261.3
Alemania,Europa,2022,6,2.171,2331.3
Alemania,Europa,2022,7,3.287,2568.5
Alemania,Europa,2022,8,3.121,2736.8
Alemania,Europa,2022,9,3.633,4232.4
Alemania,Europa,2022,10,2.823,3903.6
Alemania,Europa,2022,11,3.276,4619.4
Alemania,Europa,2022,12,2.268,3606.0
Alemania,Europa,2023,1,2.638,2743.5
Alemania,Europa,2023,2,1.855,2182.2
Alemania,Europa,2023,3,1.724,1409.5
Alemania,Europa,2023,4,2.213,3042.0
Alemania,Europa,2023,5,2.593,2864.3
Alemania,Europa,2023,6,3.343,4920.3
Alemania,Europa,2023,7,3.072,4188.3
Alemania,Europa,2023,8,4.322,5381.6
Alemania,Europa,2023,9,4.011,5602.2
Alemania,Europa,2023,10,3.396,5134.3
Alemania,Europa,2023,11,3.606,4424.6
Alemania,Europa,2023,12,3.186,3573.2
Alemania,Europa,2024,1,2.685,2478.5
Alemania,Europa,2024,2,2.172,1549.1
Alemania,Europa,2024,3,2.492,3926.2
Alemania,Europa,2024,4,2.552,2486.6
Alemania,Europa,2024,5,2.774,3967.5
Alemania,Europa,2024,6,3.441,3621.7
Alemania,Europa,2024,7,4.413,4173.5
Alemania,Europa,2024,8,3.984,4209.6
Alemania,Europa,2024,9,5.215,8323.0
Alemania,Europa,2024,10,4.137,5802.0
Alemania,Europa,2024,11,3.589,4642.2
Alemania,Europa,2024,12,3.072,2750.1
Japón,Asia,2022,1,2.485,1989.4
Japón,Asia,2022,2,2.554,2573.2
Japón,Asia,2022,3,3.02,4193.0
Japón,Asia,2022,4,2.377,3765.3
Japón,Asia,2022,5,2.385,2005.3
Japón,Asia,2022,6,1.824,2608.3
Japón,Asia,2022,7,1.83,1341.2
Japón,Asia,2022,8,1.388,1219.4
Japón,Asia,2022,9,1.346,947.7
Japón,Asia,2022,10,1.457,1724.6
Japón,Asia,2022,11,1.675,1899.0
Japón,Asia,2022,12,2.052,2976.4
Japón,Asia,2023,1,2.451,2467.1
Japón,Asia,2023,2,2.835,3154.6
Japón,Asia,2023,3,3.33,3547.6
Japón,Asia,2023,4,3.384,2404.0
Japón,Asia,2023,5,2.526,2079.3
Japón,Asia,2023,6,2.098,2609.0
Japón,Asia,2023,7,2.083,2133.4
Japón,Asia,2023,8,1.77,1813.9
Japón,Asia,2023,9,1.595,1174.5
Japón,Asia,2023,10,1.589,1194.8
Japón,Asia,2023,11,2.124,2755.4
Japón,Asia,2023,12,2.648,3948.1
Japón,Asia,2024,1,3.254,2697.7
Japón,Asia,2024,2,3.346,4264.7
Japón,Asia,2024,3,3.892,5190.7
Japón,Asia,2024,4,3.131,2543.5
Japón,Asia,2024,5,3.424,2651.3
Japón,Asia,2024,6,2.738,2996.1
Japón,Asia,2024,7,2.468,1924.9
Japón,Asia,2024,8,2.04,2042.3
Japón,Asia,2024,9,1.871,1583.6
Japón,Asia,2024,10,1.971,2711.3
Japón,Asia,2024,11,2.382,3314.5
Japón,Asia,2024,12,2.823,3289.0
Tailandia,Asia,2022,1,2.779,2246.1
Tailandia,Asia,2022,2,3.079,2566.2
Tailandia,Asia,2022,3,3.009,3362.3
Tailandia,Asia,2022,4,2.593,2322.3
Tailandia,Asia,2022,5,2.822,3596.3
Tailandia,Asia,2022,6,2.239,2943.4
Tailandia,Asia,2022,7,1.795,2025.6
Tailandia,Asia,2022,8,1.531,2113.5
Tailandia,Asia,2022,9,1.272,1821.4
Tailandia,Asia,2022,10,1.338,1327.3
Tailandia,Asia,2022,11,2.119,1914.3
Tailandia,Asia,2022,12,2.156,1833.3
Tailandia,Asia,2023,1,3.575,3073.0
Tailandia,Asia,2023,2,3.48,3515.0
Tailandia,Asia,2023,3,3.405,4083.2
Tailandia,Asia,2023,4,3.446,5333.0
Tailandia,Asia,2023,5,3.202,4308.6
Tailandia,Asia,2023,6,2.369,3444.8
Tailandia,Asia,2023,7,2.34,2269.3
Tailandia,Asia,2023,8,1.954,1388.6
Tailandia,Asia,2023,9,1.608,2152.2
Tailandia,Asia,2023,10,1.904,2871.2
Tailandia,Asia,2023,11,2.421,3740.1
Tailandia,Asia,2023,12,3.051,2466.2
Tailandia,Asia,2024,1,4.086,5416.2
Tailandia,Asia,2024,2,3.715,3077.4
Tailandia,Asia,2024,3,4.005,5717.3
Tailandia,Asia,2024,4,3.967,4707.8
Tailandia,Asia,2024,5,3.703,4694.9
Tailandia,Asia,2024,6,3.088,2351.5
Tailandia,Asia,2024,7,2.958,3594.1
Tailandia,Asia,2024,8,1.89,1657.0
Tailandia,Asia,2024,9,2.319,3624.1
Tailandia,Asia,2024,10,2.203,2260.6
Tailandia,Asia,2024,11,2.551,2554.5
Tailandia,Asia,2024,12,3.15,3967.7
India,Asia,2022,1,0.629,989.5
India,Asia,2022,2,0.715,557.3
India,Asia,2022,3,0.84,859.7
India,Asia,2022,4,0.841,728.1
India,Asia,2022,5,0.716,586.7
India,Asia,2022,6,0.66,604.7
India,Asia,2022,7,0.564,510.8
India,Asia,2022,8,0.429,467.9
India,Asia,2022,9,0.444,456.6
India,Asia,2022,10,0.43,647.1
India,Asia,2022,11,0.436,502.5
India,Asia,2022,12,0.668,631.9
India,Asia,2023,1,0.77,952.5
India,Asia,2023,2,1.053,1584.7
India,Asia,2023,3,0.993,879.1
India,Asia,2023,4,0.819,867.0
India,Asia,2023,5,0.772,958.1
India,Asia,2023,6,0.78,1033.1
India,Asia,2023,7,0.556,884.9
India,Asia,2023,8,0.557,718.2
India,Asia,2023,9,0.524,817.3
India,Asia,2023,10,0.491,697.6
India,Asia,2023,11,0.595,637.6
India,Asia,2023,12,0.845,710.4
India,Asia,2024,1,0.991,1418.7
India,Asia,2024,2,1.146,1222.8
India,Asia,2024,3,1.233,1142.2
India,Asia,2024,4,1.105,1290.7
India,Asia,2024,5,0.89,779.0
India,Asia,2024,6,0.933,758.0
India,Asia,2024,7,0.794,806.1
India,Asia,2024,8,0.669,909.3
India,Asia,2024,9,0.547,820.4
India,Asia,2024,10,0.519,632.5
India,Asia,2024,11,0.743,1017.0
India,Asia,2024,12,0.795,607.7
Egipto,África,2022,1,0.904,1387.2
Egipto,África,2022,2,0.835,1222.4
Egipto,África,2022,3,0.819,791.1
Egipto,África,2022,4,1.009,817.3
Egipto,África,2022,5,0.818,1123.4
Egipto,África,2022,6,0.741,1146.9
Egipto,África,2022,7,0.487,664.5
Egipto,África,2022,8,0.495,578.4
Egipto,África,2022,9,0.41,604.1
Egipto,África,2022,10,0.453,593.1
Egipto,África,2022,11,0.531,589.4
Egipto,África,2022,12,0.773,696.9
Egipto,África,2023,1,1.076,830.8
Egipto,África,2023,2,1.23,1576.8
Egipto,África,2023,3,1.069,1526.0
Egipto,África,2023,4,1.163,1830.3
Egipto,África,2023,5,1.036,1458.8
Egipto,África,2023,6,0.802,1162.5
Egipto,África,2023,7,0.742,857.2
Egipto,África,2023,8,0.536,851.5
Egipto,África,2023,9,0.536,770.6
Egipto,África,2023,10,0.504,501.7
Egipto,África,2023,11,0.624,861.7
Egipto,África,2023,12,0.804,1156.2
Egipto,África,2024,1,1.065,1070.2
Egipto,África,2024,2,1.174,1098.3
Egipto,África,2024,3,1.311,1542.9
Egipto,África,2024,4,1.386,1428.7
Egipto,África,2024,5,0.993,1485.4
Egipto,África,2024,6,1.076,1301.1
Egipto,África,2024,7,0.682,796.5
Egipto,África,2024,8,0.601,616.4
Egipto,África,2024,9,0.603,457.4
Egipto,África,2024,10,0.664,778.6
Egipto,África,2024,11,0.726,581.7
Egipto,África,2024,12,0.976,1278.4
Sudáfrica,África,2022,1,0.707,891.9
Sudáfrica,África,2022,2,0.625,555.6
Sudáfrica,África,2022,3,0.606,476.1
Sudáfrica,África,2022,4,0.751,550.9
Sudáfrica,África,2022,5,0.611,541.1
Sudáfrica,África,2022,6,0.548,774.6
Sudáfrica,África,2022,7,0.442,590.2
Sudáfrica,África,2022,8,0.316,249.9
Sudáfrica,África,2022,9,0.296,277.7
Sudáfrica,África,2022,10,0.313,431.8
Sudáfrica,África,2022,11,0.479,666.4
Sudáfrica,África,2022,12,0.488,526.4
Sudáfrica,África,2023,1,0.792,680.4
Sudáfrica,África,2023,2,0.795,1056.7
Sudáfrica,África,2023,3,0.869,914.0
Sudáfrica,África,2023,4,0.771,1090.9
Sudáfrica,África,2023,5,0.716,773.5
Sudáfrica,África,2023,6,0.656,573.4
Sudáfrica,África,2023,7,0.596,588.1
Sudáfrica,África,2023,8,0.484,622.1
Sudáfrica,África,2023,9,0.377,266.9
Sudáfrica,África,2023,10,0.444,612.2
Sudáfrica,África,2023,11,0.473,672.9
Sudáfrica,África,2023,12,0.585,606.7
Sudáfrica,África,2024,1,0.766,645.1
Sudáfrica,África,2024,2,0.991,1355.2
Sudáfrica,África,2024,3,0.859,1248.0
Sudáfrica,África,2024,4,0.972,1172.7
Sudáfrica,África,2024,5,0.867,705.5
Sudáfrica,África,2024,6,0.835,1240.5
Sudáfrica,África,2024,7,0.536,520.5
Sudáfrica,África,2024,8,0.464,504.8
Sudáfrica,África,2024,9,0.469,728.1
Sudáfrica,África,2024,10,0.538,834.3
Sudáfrica,África,2024,11,0.67,569.1
Sudáfrica,África,2024,12,0.793,982.5
Australia,Oceanía,2022,1,0.551,664.2
Australia,Oceanía,2022,2,0.728,607.9
Australia,Oceanía,2022,3,0.792,1233.0
Australia,Oceanía,2022,4,0.786,561.8
Australia,Oceanía,2022,5,0.592,506.1
Australia,Oceanía,2022,6,0.468,580.5
Australia,Oceanía,2022,7,0.427,547.3
Australia,Oceanía,2022,8,0.396,426.9
Australia,Oceanía,2022,9,0.376,554.9
Australia,Oceanía,2022,10,0.421,295.6
Australia,Oceanía,2022,11,0.412,638.2
Australia,Oceanía,2022,12,0.583,525.2
Australia,Oceanía,2023,1,0.836,1283.6
Australia,Oceanía,2023,2,0.916,738.8
Australia,Oceanía,2023,3,0.931,652.0
Australia,Oceanía,2023,4,0.858,1048.8
Australia,Oceanía,2023,5,0.819,795.6
Australia,Oceanía,2023,6,0.639,673.0
Australia,Oceanía,2023,7,0.467,484.6
Australia,Oceanía,2023,8,0.475,625.3
Australia,Oceanía,2023,9,0.378,273.0
Australia,Oceanía,2023,10,0.5,645.5
Australia,Oceanía,2023,11,0.467,574.4
Australia,Oceanía,2023,12,0.593,788.5
Australia,Oceanía,2024,1,0.955,976.4
Australia,Oceanía,2024,2,1.047,772.6
Australia,Oceanía,2024,3,0.912,950.0
Australia,Oceanía,2024,4,0.948,1039.7
Australia,Oceanía,2024,5,0.967,900.9
Australia,Oceanía,2024,6,0.664,981.6
Australia,Oceanía,2024,7,0.622,791.7
Australia,Oceanía,2024,8,0.501,612.0
Australia,Oceanía,2024,9,0.527,472.5
Australia,Oceanía,2024,10,0.508,485.9
Australia,Oceanía,2024,11,0.62,624.1
Australia,Oceanía,2024,12,0.701,712.8
