fecha,latitud,longitud,magnitud,profundidad_km,region
2022-08-06,14.9357,-97.3767,4.1,74.8,Costa de Oaxaca
2022-08-08,32.2106,-114.9174,3.6,88.4,Baja California
2022-08-13,18.4992,-97.5787,4.0,66.6,Puebla-Veracruz
2022-08-16,23.425,-109.355,4.1,5.9,Golfo de California
2022-08-21,23.3326,-108.0513,4.4,28.9,Golfo de California
2022-08-22,14.4257,-93.533,4.5,17.1,Costa de Chiapas
2022-08-23,17.8488,-102.1623,4.3,16.3,Michoacán
2022-08-24,13.6743,-93.2651,3.6,27.9,Costa de Chiapas
2022-08-24,31.3036,-114.856,6.0,28.3,Baja California
2022-08-25,19.6037,-105.5815,5.6,38.0,Jalisco
2022-08-29,23.38,-107.9518,3.8,51.9,Golfo de California
2022-08-30,23.6103,-107.723,4.2,47.9,Golfo de California
2022-09-01,19.6005,-104.9749,4.2,15.2,Jalisco
2022-09-01,14.6552,-93.0241,3.7,34.6,Costa de Chiapas
2022-09-08,17.5396,-102.4413,5.5,51.7,Michoacán
2022-09-09,32.1069,-114.5763,4.9,36.7,Baja California
2022-09-10,15.4663,-93.4535,4.1,53.8,Costa de Chiapas
2022-09-17,19.7133,-105.7601,4.6,9.5,Jalisco
2022-09-29,18.2734,-102.9893,4.5,20.9,Michoacán
2022-09-29,15.3669,-92.1612,4.3,30.0,Costa de Chiapas
2022-10-09,24.3704,-109.4915,4.1,41.6,Golfo de California
2022-10-10,18.2391,-97.5331,3.9,11.1,Puebla-Veracruz
2022-10-18,17.7324,-97.2523,3.6,16.3,Puebla-Veracruz
2022-10-19,23.6072,-108.3516,4.8,72.1,Golfo de California
2022-10-20,19.0315,-98.2255,4.0,29.7,Puebla-Veracruz
2022-10-24,17.4724,-97.5031,7.4,16.0,Puebla-Veracruz
2022-10-29,18.3075,-96.8317,5.0,31.1,Puebla-Veracruz
2022-11-05,18.3079,-97.4007,4.0,15.6,Puebla-Veracruz
2022-11-08,15.6938,-98.6414,3.8,29.0,Costa de Oaxaca
2022-11-08,22.6292,-108.9453,3.7,34.2,Golfo de California
2022-11-11,17.1295,-100.8436,4.2,17.7,Costa de Guerrero
2022-11-11,18.5498,-105.7227,4.8,7.8,Jalisco
2022-11-14,15.0897,-91.9896,5.2,24.9,Costa de Chiapas
2022-11-15,18.809,-97.5466,5.9,53.0,Puebla-Veracruz
2022-11-18,18.7758,-97.4008,5.7,43.1,Puebla-Veracruz
2022-11-18,31.893,-114.7314,3.5,68.1,Baja California
2022-11-18,32.2164,-115.7857,4.6,19.4,Baja California
2022-11-26,16.2038,-100.7316,4.2,13.8,Costa de Guerrero
2022-11-29,23.6784,-108.4473,4.6,52.1,Golfo de California
2022-12-02,23.7556,-108.8421,3.9,22.8,Golfo de California
2022-12-04,32.4108,-114.7217,4.0,7.3,Baja California
2022-12-07,15.0491,-92.9602,5.7,12.2,Costa de Chiapas
2022-12-07,18.5907,-102.0844,3.9,45.0,Michoacán
2022-12-10,15.494,-98.4674,4.0,27.1,Costa de Oaxaca
2022-12-12,24.6289,-108.3915,3.8,58.0,Golfo de California
2022-12-13,23.0893,-108.8451,4.6,13.8,Golfo de California
2022-12-19,17.1085,-100.8636,7.8,15.7,Costa de Guerrero
2022-12-19,31.8167,-115.3457,3.6,36.3,Baja California
2022-12-31,15.15,-93.6893,3.8,7.8,Costa de Chiapas
2023-01-01,24.2242,-108.3899,6.8,47.1,Golfo de California
2023-01-03,18.634,-101.4519,3.9,33.5,Michoacán
2023-01-06,19.2345,-106.0043,4.6,38.4,Jalisco
2023-01-11,15.2909,-97.3094,4.5,55.6,Costa de Oaxaca
2023-01-12,18.6026,-97.6526,7.8,11.4,Puebla-Veracruz
2023-01-18,19.8415,-105.3581,4.4,10.7,Jalisco
2023-01-23,19.7899,-97.4887,3.6,36.3,Puebla-Veracruz
2023-01-24,32.7156,-114.3965,3.6,22.8,Baja California
2023-01-26,16.6609,-97.4471,3.6,33.0,Costa de Oaxaca
2023-01-29,18.4475,-97.1048,4.1,39.3,Puebla-Veracruz
2023-02-01,18.4524,-102.322,4.0,29.8,Michoacán
2023-02-09,15.9378,-98.2882,4.2,61.9,Costa de Oaxaca
2023-02-10,31.9837,-114.8578,3.8,13.9,Baja California
2023-02-20,19.0047,-103.3511,5.0,84.2,Michoacán
2023-02-26,32.4125,-115.9833,3.6,95.7,Baja California
2023-03-04,32.5528,-116.0622,6.8,19.9,Baja California
2023-03-05,18.0584,-97.8407,3.6,61.8,Puebla-Veracruz
2023-03-06,32.1063,-114.9904,4.2,28.4,Baja California
2023-03-07,16.0986,-101.351,3.8,89.9,Costa de Guerrero
2023-03-08,16.9035,-101.1766,5.0,14.4,Costa de Guerrero
2023-03-18,17.6494,-99.9274,4.6,31.6,Costa de Guerrero
2023-04-01,30.9813,-114.6808,3.5,25.9,Baja California
2023-04-09,31.9707,-115.8217,4.1,7.3,Baja California
2023-04-25,18.4918,-97.6472,4.4,7.2,Puebla-Veracruz
2023-04-28,16.0801,-98.1589,4.2,103.5,Costa de Oaxaca
2023-05-11,19.8535,-104.1056,4.3,13.7,Jalisco
2023-05-12,18.7752,-97.7681,3.6,13.8,Puebla-Veracruz
2023-05-15,18.3487,-102.5547,3.7,7.2,Michoacán
2023-05-16,18.5699,-97.1284,4.4,8.5,Puebla-Veracruz
2023-05-17,17.5732,-99.6468,3.9,7.3,Costa de Guerrero
2023-05-18,16.2135,-97.8708,5.3,9.8,Costa de Oaxaca
2023-05-21,17.1428,-99.7965,3.8,61.0,Costa de Guerrero
2023-05-24,17.9958,-100.9237,3.8,47.9,Costa de Guerrero
2023-05-26,18.5307,-97.5243,4.0,34.5,Puebla-Veracruz
2023-05-26,33.1354,-115.7127,6.1,21.0,Baja California
2023-05-29,23.5819,-109.3357,4.8,24.1,Golfo de California
2023-05-30,17.3769,-103.2184,4.1,10.9,Michoacán
2023-06-01,22.8312,-108.8811,4.7,12.5,Golfo de California
2023-06-18,15.8292,-98.9548,4.4,9.2,Costa de Oaxaca
2023-06-19,14.6551,-93.2049,3.7,15.6,Costa de Chiapas
2023-06-23,23.3109,-107.2338,4.5,19.4,Golfo de California
2023-06-23,19.6144,-102.1459,5.2,19.5,Michoacán
2023-06-27,17.4429,-101.7503,3.6,15.2,Michoacán
2023-06-30,32.4107,-115.5464,3.8,27.3,Baja California
2023-07-01,19.1357,-97.8312,3.8,28.0,Puebla-Veracruz
2023-07-01,15.722,-93.2265,4.3,14.5,Costa de Chiapas
2023-07-05,32.7043,-115.2064,3.7,17.4,Baja California
2023-07-07,15.2513,-98.2304,6.3,6.1,Costa de Oaxaca
2023-07-08,15.3511,-92.2261,4.0,24.8,Costa de Chiapas
2023-07-10,19.4244,-104.5421,4.7,11.3,Jalisco
2023-07-12,19.7773,-104.6915,3.6,40.1,Jalisco
2023-07-12,31.9455,-114.3346,4.2,13.4,Baja California
2023-07-14,23.0133,-108.2083,4.7,36.9,Golfo de California
2023-07-17,23.0441,-108.8205,4.8,40.8,Golfo de California
2023-07-23,16.0416,-98.3384,4.9,53.9,Costa de Oaxaca
2023-07-26,22.613,-108.7319,4.1,6.4,Golfo de California
2023-07-27,17.7371,-101.7779,5.5,23.4,Michoacán
2023-07-31,19.0219,-105.6855,3.7,32.1,Jalisco
2023-08-10,32.3586,-113.9472,3.6,21.1,Baja California
2023-08-11,18.158,-102.2482,4.5,9.8,Michoacán
2023-08-17,15.9701,-97.5156,5.2,23.5,Costa de Oaxaca
2023-08-17,32.3357,-115.5541,3.6,47.9,Baja California
2023-08-21,24.5287,-108.6169,3.9,7.7,Golfo de California
2023-08-22,31.4621,-114.7798,5.2,51.8,Baja California
2023-08-23,18.0936,-100.9636,3.7,19.2,Costa de Guerrero
2023-08-26,20.4504,-104.4325,4.4,15.7,Jalisco
2023-08-30,18.9455,-97.3601,4.5,16.3,Puebla-Veracruz
2023-08-30,18.9279,-105.2288,6.6,23.4,Jalisco
2023-09-02,18.5033,-97.6252,3.6,30.0,Puebla-Veracruz
2023-09-04,17.1225,-100.1984,4.3,22.1,Costa de Guerrero
2023-09-16,18.0534,-102.8328,5.5,31.9,Michoacán
2023-09-17,19.5942,-105.2218,3.9,5.5,Jalisco
2023-09-21,23.8895,-108.4345,7.8,18.7,Golfo de California
2023-09-21,19.5167,-105.4859,3.6,12.1,Jalisco
2023-09-23,18.2877,-102.304,5.3,38.5,Michoacán
2023-09-24,24.2584,-108.4176,3.7,18.7,Golfo de California
2023-09-25,32.1546,-115.7561,4.9,31.9,Baja California
2023-09-27,23.0297,-107.9347,4.9,10.7,Golfo de California
2023-09-27,32.3496,-115.2259,3.8,41.5,Baja California
2023-09-28,19.4191,-105.5122,4.6,87.8,Jalisco
2023-09-29,19.3286,-105.0256,4.2,60.2,Jalisco
2023-09-30,15.8399,-97.678,4.1,16.9,Costa de Oaxaca
2023-10-02,23.2998,-108.2688,3.8,9.2,Golfo de California
2023-10-08,23.3238,-108.6109,3.6,18.2,Golfo de California
2023-10-09,17.3027,-100.2535,4.2,33.7,Costa de Guerrero
2023-10-11,31.9752,-115.7471,3.5,14.5,Baja California
2023-10-14,24.6193,-107.5005,3.5,18.8,Golfo de California
2023-10-18,31.4004,-115.2627,3.6,7.5,Baja California
2023-10-20,19.0689,-96.9153,4.6,17.4,Puebla-Veracruz
2023-10-23,19.2346,-96.9211,4.0,39.6,Puebla-Veracruz
2023-10-28,19.2984,-104.6888,3.5,85.8,Jalisco
2023-10-29,23.2303,-108.5201,3.7,48.3,Golfo de California
2023-10-31,22.9962,-108.7323,4.0,7.1,Golfo de California
2023-11-01,15.3767,-97.3691,3.6,45.2,Costa de Oaxaca
2023-11-08,18.4302,-102.3785,4.9,17.0,Michoacán
2023-11-11,23.1101,-108.3067,4.0,32.1,Golfo de California
2023-11-11,15.585,-98.153,4.1,11.3,Costa de Oaxaca
2023-11-12,19.717,-105.0022,4.0,11.7,Jalisco
2023-11-14,17.0703,-102.1831,4.2,30.4,Michoacán
2023-11-14,32.5015,-115.3512,3.6,16.4,Baja California
2023-11-15,23.1602,-108.0437,3.8,5.9,Golfo de California
2023-11-17,18.9494,-97.6371,4.4,10.2,Puebla-Veracruz
2023-11-20,23.2045,-108.5593,7.8,9.2,Golfo de California
2023-11-24,17.4033,-100.9946,4.2,18.0,Costa de Guerrero
2023-11-26,19.3141,-96.1724,4.1,5.3,Puebla-Veracruz
2023-11-28,17.8238,-102.2726,3.8,48.7,Michoacán
2023-12-01,17.9683,-102.4364,6.0,27.1,Michoacán
2023-12-01,17.6199,-100.5288,4.8,12.5,Costa de Guerrero
2023-12-07,22.8933,-108.9654,4.4,53.1,Golfo de California
2023-12-08,17.2916,-101.7154,4.6,27.3,Michoacán
2023-12-11,19.1513,-105.5748,4.0,8.0,Jalisco
2023-12-17,31.8865,-115.2169,4.0,99.0,Baja California
2023-12-21,24.0567,-108.3931,6.3,27.3,Golfo de California
2023-12-22,16.75,-100.418,4.6,16.9,Costa de Guerrero
2023-12-24,17.884,-103.3805,3.6,15.3,Michoacán
2023-12-26,19.9719,-105.1995,6.8,49.8,Jalisco
2023-12-27,32.5163,-115.1287,4.6,9.4,Baja California
2023-12-27,18.5184,-97.5828,5.6,5.1,Puebla-Veracruz
2023-12-28,16.5773,-97.8107,3.8,39.6,Costa de Oaxaca
2023-12-31,15.5548,-92.7096,3.8,10.6,Costa de Chiapas
2024-01-08,32.0748,-115.8807,4.1,8.6,Baja California
2024-01-08,17.5141,-102.9927,4.0,6.2,Michoacán
2024-01-10,23.7821,-108.9972,4.2,21.5,Golfo de California
2024-01-13,23.6897,-108.9037,3.6,19.1,Golfo de California
2024-01-16,16.0949,-92.2227,4.6,8.4,Costa de Chiapas
2024-01-17,15.747,-92.3665,4.3,19.6,Costa de Chiapas
2024-01-19,15.0531,-97.9968,5.7,26.3,Costa de Oaxaca
2024-02-03,15.8308,-98.3781,4.5,9.8,Costa de Oaxaca
2024-02-05,18.0206,-102.0345,4.6,61.6,Michoacán
2024-02-10,18.3135,-102.1796,3.7,83.7,Michoacán
2024-02-14,19.1744,-105.5175,3.9,23.4,Jalisco
2024-02-20,18.3349,-102.439,5.4,44.2,Michoacán
2024-02-21,16.0106,-96.706,5.9,42.2,Costa de Oaxaca
2024-02-22,18.8453,-105.4576,4.3,49.3,Jalisco
2024-02-23,32.5313,-115.1295,5.9,21.3,Baja California
2024-02-23,17.2506,-100.2734,4.2,27.0,Costa de Guerrero
2024-02-27,17.8689,-102.6911,3.7,28.6,Michoacán
2024-02-29,24.3502,-109.4771,5.9,6.5,Golfo de California
2024-03-01,23.7097,-108.94,4.4,11.0,Golfo de California
2024-03-01,17.1666,-100.0632,7.2,20.6,Costa de Guerrero
2024-03-04,17.8528,-102.2873,3.9,6.4,Michoacán
2024-03-05,17.7167,-102.593,3.6,74.1,Michoacán
2024-03-05,14.6734,-92.3357,4.0,13.5,Costa de Chiapas
2024-03-08,24.8067,-109.0636,6.0,31.6,Golfo de California
2024-03-10,18.4804,-98.0504,6.3,5.2,Puebla-Veracruz
2024-03-12,16.7828,-100.5292,3.5,16.4,Costa de Guerrero
2024-03-14,31.8358,-114.9971,4.1,5.8,Baja California
2024-03-29,15.3307,-93.3551,5.6,59.2,Costa de Chiapas
2024-03-31,16.1672,-97.8028,3.6,90.3,Costa de Oaxaca
2024-04-02,23.175,-108.9886,6.1,48.0,Golfo de California
2024-04-07,17.226,-100.0208,4.7,25.7,Costa de Guerrero
2024-04-07,23.4656,-108.6456,3.9,20.4,Golfo de California
2024-04-08,18.2777,-97.6741,3.7,15.6,Puebla-Veracruz
2024-04-09,17.0056,-100.6696,4.4,18.1,Costa de Guerrero
2024-04-09,15.0113,-97.4515,4.4,6.5,Costa de Oaxaca
2024-04-10,20.3559,-104.7222,4.1,20.6,Jalisco
2024-04-13,18.9207,-104.1829,3.7,12.6,Jalisco
2024-04-23,19.0368,-103.7315,3.5,53.8,Jalisco
2024-04-30,23.4796,-108.4476,5.5,8.0,Golfo de California
2024-05-01,17.2551,-100.3923,3.9,22.4,Costa de Guerrero
2024-05-01,17.5859,-100.3107,6.1,7.7,Costa de Guerrero
2024-05-04,18.4039,-97.6329,5.3,27.4,Puebla-Veracruz
2024-05-12,19.1324,-98.0349,3.5,20.4,Puebla-Veracruz
2024-05-12,16.3512,-100.6826,4.7,87.9,Costa de Guerrero
2024-05-23,18.2222,-102.6229,5.0,8.8,Michoacán
2024-05-29,15.5049,-93.7283,4.1,32.7,Costa de Chiapas
2024-05-30,16.3262,-98.0887,3.7,13.4,Costa de Oaxaca
2024-06-02,23.3367,-108.7801,5.2,33.8,Golfo de California
2024-06-03,15.6683,-93.0354,3.5,31.0,Costa de Chiapas
2024-06-07,32.1299,-115.729,3.9,5.4,Baja California
2024-06-12,31.3919,-114.6322,5.7,39.0,Baja California
2024-06-13,18.1667,-102.1664,4.2,37.7,Michoacán
2024-06-23,18.4147,-97.2115,6.6,15.5,Puebla-Veracruz
2024-06-26,17.5048,-102.6774,4.4,69.8,Michoacán
2024-06-30,31.899,-115.5146,3.9,12.2,Baja California
2024-07-04,16.6739,-97.501,3.9,35.2,Costa de Oaxaca
2024-07-06,24.514,-108.7257,3.9,28.1,Golfo de California
2024-07-10,19.5365,-105.0345,3.9,69.2,Jalisco
2024-07-11,15.1815,-92.5962,4.1,22.3,Costa de Chiapas
2024-07-11,19.3869,-96.9317,5.8,10.0,Puebla-Veracruz
2024-07-14,18.5257,-103.0407,4.2,6.1,Michoacán
2024-07-20,15.8313,-92.4576,4.2,6.6,Costa de Chiapas
2024-07-29,16.3796,-96.3059,6.1,68.1,Costa de Oaxaca
2024-07-31,17.7192,-100.253,3.6,12.2,Costa de Guerrero
2024-08-08,15.3977,-93.3915,3.5,11.8,Costa de Chiapas
2024-08-10,31.9866,-115.0516,3.6,54.7,Baja California
2024-08-11,17.8457,-101.8079,4.5,24.5,Michoacán
2024-08-15,15.3301,-92.3299,4.1,12.5,Costa de Chiapas
2024-08-15,18.7725,-103.0545,4.3,36.8,Michoacán
2024-08-18,19.1342,-97.6699,3.6,73.5,Puebla-Veracruz
2024-08-19,15.1569,-93.9042,3.7,45.1,Costa de Chiapas
2024-08-19,23.0264,-108.5307,4.4,30.0,Golfo de California
2024-08-19,31.7794,-115.554,3.6,6.1,Baja California
2024-08-22,18.8319,-98.1125,5.2,61.1,Puebla-Veracruz
2024-08-23,23.4116,-109.0758,5.7,19.3,Golfo de California
2024-08-26,15.9963,-98.4623,3.7,13.1,Costa de Oaxaca
2024-08-27,16.2541,-93.5195,3.7,41.2,Costa de Chiapas
2024-08-30,15.4577,-97.9868,4.4,21.7,Costa de Oaxaca
2024-09-01,15.5556,-97.613,5.7,12.4,Costa de Oaxaca
2024-09-03,16.6292,-100.5106,5.7,22.1,Costa de Guerrero
2024-09-03,19.5196,-97.4176,4.4,114.7,Puebla-Veracruz
2024-09-04,32.7934,-115.3998,4.2,22.5,Baja California
2024-09-11,17.6987,-103.3197,3.7,5.1,Michoacán
2024-09-17,16.3888,-98.4563,3.6,5.7,Costa de Oaxaca
2024-09-23,23.76,-109.0168,3.5,40.1,Golfo de California
2024-09-29,19.2078,-102.6291,3.7,13.7,Michoacán
2024-09-30,20.1234,-105.2452,4.2,34.9,Jalisco
2024-09-30,14.773,-92.8313,4.0,28.0,Costa de Chiapas
2024-10-09,19.4703,-104.6815,3.5,50.3,Jalisco
2024-10-09,32.3421,-116.3136,3.6,19.6,Baja California
2024-10-13,23.3482,-108.3237,4.8,17.3,Golfo de California
2024-10-22,14.8816,-93.2617,3.7,14.5,Costa de Chiapas
2024-10-23,23.4044,-108.3918,3.7,26.9,Golfo de California
2024-10-23,18.7695,-97.5025,4.0,6.2,Puebla-Veracruz
2024-10-24,16.6062,-97.2073,3.7,54.9,Costa de Oaxaca
2024-10-25,17.5318,-100.1969,4.6,6.6,Costa de Guerrero
2024-10-26,18.462,-97.6687,4.0,54.9,Puebla-Veracruz
2024-10-26,23.5179,-108.256,3.7,44.8,Golfo de California
2024-11-01,18.0364,-102.6843,3.6,11.1,Michoacán
2024-11-02,16.1305,-100.6415,3.8,77.6,Costa de Guerrero
2024-11-02,17.5911,-102.2823,4.2,48.5,Michoacán
2024-11-08,18.4467,-97.5943,5.1,16.6,Puebla-Veracruz
2024-11-09,16.874,-97.003,4.6,6.1,Costa de Oaxaca
2024-11-09,31.7813,-115.1463,4.3,5.1,Baja California
2024-11-14,19.1341,-104.5515,6.8,24.3,Jalisco
2024-11-17,18.989,-103.0159,4.2,21.7,Michoacán
2024-11-18,18.9422,-103.0726,5.5,8.0,Michoacán
2024-11-18,15.2484,-92.6759,4.3,5.3,Costa de Chiapas
2024-11-20,17.1315,-100.8832,3.9,6.2,Costa de Guerrero
2024-11-28,19.3578,-105.0148,3.7,59.7,Jalisco
2024-12-01,23.4345,-108.343,3.9,39.2,Golfo de California
2024-12-07,16.4564,-91.9889,3.8,19.5,Costa de Chiapas
2024-12-10,15.9671,-97.937,4.7,46.3,Costa de Oaxaca
2024-12-14,31.1824,-115.2089,3.9,9.6,Baja California
2024-12-20,18.1518,-97.8175,3.9,13.8,Puebla-Veracruz
2024-12-20,23.7682,-108.4772,7.8,61.9,Golfo de California
2024-12-28,19.4149,-105.7489,5.8,63.7,Jalisco
