ciudad,anio,mes,temp_promedio_c,temp_max_c,temp_min_c,precipitacion_mm,humedad_promedio_pct
Monterrey,2023,11,20.8,28.6,17.2,68.7,46.2
Monterrey,2023,12,21.3,29.0,15.4,63.0,42.4
Monterrey,2024,1,21.9,26.2,15.6,37.9,56.0
Monterrey,2024,2,21.7,28.6,15.1,52.9,60.8
Monterrey,2024,3,21.6,25.9,15.6,55.5,47.9
Monterrey,2024,4,26.7,32.6,20.1,112.0,69.5
Monterrey,2024,5,25.2,30.0,20.3,221.8,46.5
Monterrey,2024,6,29.6,34.7,22.7,170.7,51.8
Monterrey,2024,7,29.0,34.1,26.0,192.7,62.4
Monterrey,2024,8,26.5,31.1,21.8,169.7,68.6
Monterrey,2024,9,22.4,30.4,18.4,47.8,36.0
Monterrey,2024,10,22.8,27.1,19.1,15.2,66.2
Monterrey,2024,11,19.8,24.0,14.3,113.2,64.5
Monterrey,2024,12,19.5,27.2,15.1,62.7,47.4
Guadalajara,2023,1,15.1,21.6,11.5,62.2,56.6
Guadalajara,2023,2,19.5,24.7,13.2,15.6,51.6
Guadalajara,2023,3,21.9,27.0,16.0,30.5,50.3
Guadalajara,2023,4,22.6,27.3,16.6,181.3,47.4
Guadalajara,2023,5,24.4,31.4,19.9,244.1,42.1
Guadalajara,2023,6,25.6,30.9,19.5,226.7,39.3
Guadalajara,2023,7,24.2,28.4,19.1,234.9,70.3
Guadalajara,2023,8,24.5,32.1,20.3,142.8,69.5
Guadalajara,2023,9,21.7,27.5,15.9,80.4,28.1
Guadalajara,2023,10,17.6,22.8,11.7,33.3,45.5
Guadalajara,2023,11,17.3,22.0,13.8,50.1,66.5
Guadalajara,2023,12,16.1,21.7,10.2,12.2,47.3
Guadalajara,2024,1,17.6,23.5,12.0,72.5,46.6
Guadalajara,2024,2,20.3,27.2,15.1,58.8,45.0
Guadalajara,2024,3,22.8,29.9,19.3,70.2,59.4
Guadalajara,2024,4,23.0,28.4,18.5,116.5,59.6
Guadalajara,2024,5,28.0,35.4,21.9,243.5,45.2
Guadalajara,2024,6,26.2,31.1,20.0,245.1,56.0
Guadalajara,2024,7,26.2,30.6,20.3,219.9,62.6
Guadalajara,2024,8,23.4,30.5,20.2,163.6,62.3
Guadalajara,2024,9,21.0,27.4,17.4,34.0,38.8
Guadalajara,2024,10,19.9,24.4,16.2,71.4,71.3
Guadalajara,2024,11,18.2,23.3,12.4,87.1,42.6
Guadalajara,2024,12,17.7,24.9,12.2,55.0,58.0
Mérida,2023,1,24.1,31.6,17.4,62.2,55.1
Mérida,2023,2,26.8,31.6,22.9,83.1,40.1
Mérida,2023,3,25.4,31.5,20.9,71.1,43.5
Mérida,2023,4,29.4,33.4,25.6,117.4,65.3
Mérida,2023,5,29.4,34.1,24.1,181.5,50.1
Mérida,2023,6,30.0,37.5,26.0,189.6,63.0
Mérida,2023,7,30.2,35.5,23.2,157.1,65.4
Mérida,2023,8,31.6,38.4,28.2,105.8,50.1
Mérida,2023,9,26.5,31.3,23.3,29.0,77.8
Mérida,2023,10,26.8,31.0,21.2,58.3,52.3
Mérida,2023,11,23.1,28.1,19.0,0.0,65.5
Mérida,2023,12,25.7,30.3,19.0,53.0,51.6
Mérida,2024,1,25.0,32.3,20.5,65.9,61.8
Mérida,2024,2,25.7,32.0,19.3,38.7,60.1
Mérida,2024,3,28.4,35.7,22.4,45.7,61.3
Mérida,2024,4,29.2,33.3,25.9,108.0,73.3
Mérida,2024,5,32.0,39.4,28.3,147.7,87.4
Mérida,2024,6,30.5,36.2,24.7,147.7,54.2
Mérida,2024,7,29.4,34.9,25.6,158.8,74.5
Mérida,2024,8,27.5,34.2,24.2,82.1,47.3
Mérida,2024,9,26.9,31.1,21.3,46.6,66.1
Mérida,2024,10,26.8,34.4,20.2,39.3,66.3
Mérida,2024,11,26.0,32.1,21.1,98.0,60.9
Mérida,2024,12,28.7,36.4,23.2,49.1,62.5
Tijuana,2023,1,12.9,19.2,9.9,64.0,56.1
Tijuana,2023,2,15.2,19.4,9.4,66.6,51.5
Tijuana,2023,3,16.6,23.8,12.3,77.1,51.4
Tijuana,2023,4,20.0,24.4,15.3,180.9,52.7
Tijuana,2023,5,24.6,31.0,21.3,306.9,51.4
Tijuana,2023,6,24.0,31.6,20.6,328.6,62.1
Tijuana,2023,7,25.0,30.7,20.3,291.2,48.9
Tijuana,2023,8,20.1,27.6,17.0,186.2,43.7
Tijuana,2023,9,20.2,27.0,15.1,42.6,39.7
Tijuana,2023,10,14.9,22.0,8.0,89.0,62.8
Tijuana,2023,11,10.8,18.0,4.6,64.0,53.5
Tijuana,2023,12,9.0,16.4,3.2,91.5,67.5
Tijuana,2024,1,11.7,16.5,5.0,79.2,53.4
Tijuana,2024,2,13.8,17.8,7.0,46.1,34.7
Tijuana,2024,3,18.1,22.3,14.3,58.7,58.1
Tijuana,2024,4,23.8,28.4,17.0,203.3,49.0
Tijuana,2024,5,24.5,31.2,19.7,289.7,48.7
Tijuana,2024,6,22.8,30.6,16.8,370.0,52.1
Tijuana,2024,7,23.6,29.5,17.4,342.5,60.9
Tijuana,2024,8,21.5,26.3,18.1,188.1,56.6
Tijuana,2024,9,16.0,22.4,12.3,54.6,50.2
Tijuana,2024,10,14.3,21.3,10.2,65.8,49.4
Tijuana,2024,11,10.4,16.4,6.4,48.6,60.6
Tijuana,2024,12,9.2,16.6,3.6,96.8,44.5
